title,condition,price,sold_date,num_bids,buy_it_now,best_offer
Oakley M Frame Matte Black Frame w/ Satin Silver Oakley Icons - Used / *NR MINT,Pre-Owned,$89.95,"Sold  Dec 5, 2023Sold Item",,Yes,No
Oakley Terrain Tan Frame with Grey Prizm and Clear Lenses OO9296-1944,Brand New,$219.95,"Sold  Dec 5, 2023Sold Item",,Yes,No
Galaxy Replacement Lenses For Oakley M Frame Sweep Sunglasses Red Polarized,New (Other),$8.49,"Sold  Dec 5, 2023Sold Item",,Yes,No
Oakley M-Frame Green Frame Polarized Lenses Sunglasses Cycling USA Made Vintage,Pre-Owned,$90.00,"Sold  Dec 5, 2023Sold Item",,No,Yes
Oakley Black  M Frame Sunglasses Gen 1 Vintage 1989 (Read Description),Pre-Owned,$64.99,"Sold  Dec 4, 2023Sold Item",,No,Yes
Galaxy Lenses + Nose Pad + Earsock For Oakley Si Ballistic M Frame 2.0 Z87 Black,New (Other),$16.98,"Sold  Dec 4, 2023Sold Item",,Yes,No
Oakley Standard Issue Ballistic M Frame 2.0 Men's Sunglasses - Grey/Clear Lens,Brand New,$70.00,"Sold  Dec 4, 2023Sold Item",,No,Yes
Oakley M2 Frame XL Polished Black Grey Socks Replacement Frame Only Authentic,New (Other),$74.99,"Sold  Dec 4, 2023Sold Item",,Yes,No
OAKLEY SI  (Two Lens) BALLISTIC M FRAME ALPHA  APEL safety glasses OO9296-10 USA,Pre-Owned,$79.99,"Sold  Dec 4, 2023Sold Item",,No,Yes
OAKLEY SI  (Two Lens) BALLISTIC M FRAME ALPHA  APEL safety glasses OO9296-10 USA,Brand New,$89.95,"Sold  Dec 3, 2023Sold Item",1 bid,No,No
OAKLEY SI  (Two Lens) BALLISTIC M FRAME ALPHA  APEL safety glasses OO9296-10 USA,Brand New,$91.00,"Sold  Dec 3, 2023Sold Item",2 bids,No,No
Oakley Magnesium (Mag) M Frame Denim - Black Iridium Strike - VERY NICE,Pre-Owned,$204.49,"Sold  Dec 3, 2023Sold Item",15 bids,No,No
Oakley M Frame Sunglasses used,Pre-Owned,$102.50,"Sold  Dec 3, 2023Sold Item",19 bids,No,No
Oakley Elmont M OO4119 0958 Prizm Matte Silver Aviator Frames 58/15 Sunglasses,Pre-Owned,$31.76,"Sold  Dec 3, 2023Sold Item",11 bids,No,No
OAKLEY M FRAME REPACEMENT SUNGLASSES LENS IN ORIGINAL BOX,Pre-Owned,$29.99,"Sold  Dec 3, 2023Sold Item",1 bid,No,No
Oakley PRO M Frame Golf Gold/ Vented Gold Iridium Sweep *Great Condition*,Pre-Owned,$74.99,"Sold  Dec 3, 2023Sold Item",,No,Yes
NEW OAKLEY M2 FRAME XL SUNGLASSES POLISHED BLACK FRAME W/ GREY LENS SHIELD,Brand New,$89.99,"Sold  Dec 3, 2023Sold Item",,Yes,No
Oakley SI Ballistic M Frame Sport Glasses,New (Other),$41.00,"Sold  Dec 3, 2023Sold Item",2 bids,No,No
BRAND NEW In Box CUSTOM Oakley M2 Carbon Fiber Frame Prizm Ice,Brand New,$100.00,"Sold  Dec 3, 2023Sold Item",5 bids,No,No
oakley m frame sunglasses,New (Other),$58.00,"Sold  Dec 3, 2023Sold Item",19 bids,No,No
Oakley Sports Sunglasses M Frame Good condition Free shipping Rare #883,Pre-Owned,$91.58,"Sold  Dec 3, 2023Sold Item",,Yes,No
Galaxy Nose Pads Rubber Kits For Oakley M2 Frame Sunglasses Black,New (Other),$4.95,"Sold  Dec 3, 2023Sold Item",,Yes,No
